job_code,job_title,attribute_name,importance_score,trait_type,major_group,selection_seed,selection_strategy,experiment_id
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Oral Comprehension,4.0,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Written Comprehension,3.75,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Oral Expression,4.0,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Written Expression,3.0,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Fluency of Ideas,3.0,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Originality,3.0,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Problem Sensitivity,3.62,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Deductive Reasoning,3.75,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Inductive Reasoning,3.25,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Information Ordering,3.12,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Category Flexibility,3.25,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Mathematical Reasoning,3.5,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Number Facility,3.25,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Memorization,2.12,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Speed of Closure,2.75,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Flexibility of Closure,2.88,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Perceptual Speed,2.62,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Spatial Orientation,1.0,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Visualization,2.5,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Selective Attention,3.0,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Time Sharing,2.0,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Arm-Hand Steadiness,2.0,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Manual Dexterity,2.0,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Finger Dexterity,2.0,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Control Precision,1.0,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Multilimb Coordination,1.88,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Response Orientation,1.0,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Rate Control,1.0,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Reaction Time,1.0,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Wrist-Finger Speed,1.5,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Speed of Limb Movement,1.38,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Static Strength,2.0,Abilities,13,123,two_level_random_sample,EXP_20260416_154815
