Job_Code,Job_Title,Attribute_Name,Importance_Score,Trait_Type
11-1011.00,Chief Executives,Oral Comprehension,4.62,Abilities
11-1011.00,Chief Executives,Written Comprehension,4.25,Abilities
11-1011.00,Chief Executives,Oral Expression,4.5,Abilities
11-1011.00,Chief Executives,Written Expression,4.12,Abilities
11-1011.00,Chief Executives,Fluency of Ideas,3.88,Abilities
11-1011.00,Chief Executives,Originality,3.75,Abilities
11-1011.00,Chief Executives,Problem Sensitivity,4.0,Abilities
11-1011.00,Chief Executives,Deductive Reasoning,4.12,Abilities
11-1011.00,Chief Executives,Inductive Reasoning,4.0,Abilities
11-1011.00,Chief Executives,Information Ordering,4.0,Abilities
11-1011.00,Chief Executives,Category Flexibility,3.5,Abilities
11-1011.00,Chief Executives,Mathematical Reasoning,3.25,Abilities
11-1011.00,Chief Executives,Number Facility,3.12,Abilities
11-1011.00,Chief Executives,Memorization,2.88,Abilities
11-1011.00,Chief Executives,Speed of Closure,3.0,Abilities
11-1011.00,Chief Executives,Flexibility of Closure,3.25,Abilities
11-1011.00,Chief Executives,Perceptual Speed,3.0,Abilities
11-1011.00,Chief Executives,Spatial Orientation,1.38,Abilities
11-1011.00,Chief Executives,Visualization,3.0,Abilities
11-1011.00,Chief Executives,Selective Attention,3.0,Abilities
11-1011.00,Chief Executives,Time Sharing,2.88,Abilities
11-1011.00,Chief Executives,Arm-Hand Steadiness,1.38,Abilities
11-1011.00,Chief Executives,Manual Dexterity,1.0,Abilities
11-1011.00,Chief Executives,Finger Dexterity,1.5,Abilities
11-1011.00,Chief Executives,Control Precision,1.75,Abilities
11-1011.00,Chief Executives,Multilimb Coordination,1.75,Abilities
11-1011.00,Chief Executives,Response Orientation,1.38,Abilities
11-1011.00,Chief Executives,Rate Control,1.38,Abilities
11-1011.00,Chief Executives,Reaction Time,1.38,Abilities
11-1011.00,Chief Executives,Wrist-Finger Speed,1.38,Abilities
11-1011.00,Chief Executives,Speed of Limb Movement,1.0,Abilities
11-1011.00,Chief Executives,Static Strength,1.0,Abilities
11-1011.00,Chief Executives,Explosive Strength,1.0,Abilities
11-1011.00,Chief Executives,Dynamic Strength,1.25,Abilities
11-1011.00,Chief Executives,Trunk Strength,1.38,Abilities
11-1011.00,Chief Executives,Stamina,1.0,Abilities
11-1011.00,Chief Executives,Extent Flexibility,1.0,Abilities
11-1011.00,Chief Executives,Dynamic Flexibility,1.0,Abilities
11-1011.00,Chief Executives,Gross Body Coordination,1.0,Abilities
11-1011.00,Chief Executives,Gross Body Equilibrium,1.0,Abilities
11-1011.00,Chief Executives,Near Vision,3.62,Abilities
11-1011.00,Chief Executives,Far Vision,3.0,Abilities
11-1011.00,Chief Executives,Visual Color Discrimination,2.0,Abilities
11-1011.00,Chief Executives,Night Vision,1.25,Abilities
11-1011.00,Chief Executives,Peripheral Vision,1.25,Abilities
11-1011.00,Chief Executives,Depth Perception,1.75,Abilities
11-1011.00,Chief Executives,Glare Sensitivity,1.25,Abilities
11-1011.00,Chief Executives,Hearing Sensitivity,2.12,Abilities
11-1011.00,Chief Executives,Auditory Attention,2.12,Abilities
11-1011.00,Chief Executives,Sound Localization,1.38,Abilities
11-1011.00,Chief Executives,Speech Recognition,4.0,Abilities
11-1011.00,Chief Executives,Speech Clarity,4.25,Abilities
11-1021.00,General and Operations Managers,Oral Comprehension,4.0,Abilities
11-1021.00,General and Operations Managers,Written Comprehension,4.0,Abilities
11-1021.00,General and Operations Managers,Oral Expression,4.0,Abilities
11-1021.00,General and Operations Managers,Written Expression,4.0,Abilities
11-1021.00,General and Operations Managers,Fluency of Ideas,3.25,Abilities
11-1021.00,General and Operations Managers,Originality,3.12,Abilities
11-1021.00,General and Operations Managers,Problem Sensitivity,3.88,Abilities
11-1021.00,General and Operations Managers,Deductive Reasoning,3.88,Abilities
11-1021.00,General and Operations Managers,Inductive Reasoning,3.5,Abilities
11-1021.00,General and Operations Managers,Information Ordering,3.5,Abilities
11-1021.00,General and Operations Managers,Category Flexibility,3.38,Abilities
11-1021.00,General and Operations Managers,Mathematical Reasoning,2.88,Abilities
11-1021.00,General and Operations Managers,Number Facility,2.88,Abilities
11-1021.00,General and Operations Managers,Memorization,2.25,Abilities
11-1021.00,General and Operations Managers,Speed of Closure,2.38,Abilities
11-1021.00,General and Operations Managers,Flexibility of Closure,2.62,Abilities
11-1021.00,General and Operations Managers,Perceptual Speed,2.38,Abilities
11-1021.00,General and Operations Managers,Spatial Orientation,1.5,Abilities
11-1021.00,General and Operations Managers,Visualization,2.75,Abilities
11-1021.00,General and Operations Managers,Selective Attention,2.88,Abilities
11-1021.00,General and Operations Managers,Time Sharing,2.75,Abilities
11-1021.00,General and Operations Managers,Arm-Hand Steadiness,1.62,Abilities
11-1021.00,General and Operations Managers,Manual Dexterity,1.5,Abilities
11-1021.00,General and Operations Managers,Finger Dexterity,1.5,Abilities
11-1021.00,General and Operations Managers,Control Precision,1.12,Abilities
11-1021.00,General and Operations Managers,Multilimb Coordination,1.5,Abilities
11-1021.00,General and Operations Managers,Response Orientation,1.0,Abilities
11-1021.00,General and Operations Managers,Rate Control,1.0,Abilities
11-1021.00,General and Operations Managers,Reaction Time,1.62,Abilities
11-1021.00,General and Operations Managers,Wrist-Finger Speed,1.75,Abilities
11-1021.00,General and Operations Managers,Speed of Limb Movement,1.0,Abilities
11-1021.00,General and Operations Managers,Static Strength,1.5,Abilities
11-1021.00,General and Operations Managers,Explosive Strength,1.38,Abilities
