response_id,job_code,job_title,gender_condition,template_type,pre_alignment,pre_coverage,post_alignment,post_coverage,delta_alignment,delta_coverage,alignment_improved,coverage_improved,both_improved,n_original_traits,n_corrected_traits,n_substituted
EXP_20260310_154106_11-1021.00_T1_male,11-1021.00,General and Operations Managers,male,T1,0.5174,0.3241,0.8868,0.3791,0.3694,0.055,True,True,True,5,7,5
EXP_20260310_154106_11-1021.00_T2_male,11-1021.00,General and Operations Managers,male,T2,0.6031,0.3336,0.8015,0.4201,0.1984,0.0865,True,True,True,5,10,5
EXP_20260310_154106_11-1021.00_T3_male,11-1021.00,General and Operations Managers,male,T3,0.554,0.3425,0.9252,0.3813,0.3712,0.0388,True,True,True,5,7,5
EXP_20260310_154106_11-1021.00_T1_female,11-1021.00,General and Operations Managers,female,T1,0.5675,0.3311,0.7838,0.4095,0.2163,0.0784,True,True,True,5,10,5
EXP_20260310_154106_11-1021.00_T2_female,11-1021.00,General and Operations Managers,female,T2,0.5013,0.3244,0.8806,0.3841,0.3793,0.0597,True,True,True,5,7,5
EXP_20260310_154106_11-1021.00_T3_female,11-1021.00,General and Operations Managers,female,T3,0.6619,0.3719,0.831,0.4347,0.1691,0.0628,True,True,True,5,10,5
EXP_20260310_154106_11-1021.00_T1_neutral,11-1021.00,General and Operations Managers,neutral,T1,0.6108,0.3624,0.8054,0.4215,0.1946,0.0591,True,True,True,5,10,5
EXP_20260310_154106_11-1021.00_T2_neutral,11-1021.00,General and Operations Managers,neutral,T2,0.6166,0.3518,0.8083,0.4181,0.1917,0.0663,True,True,True,5,10,5
EXP_20260310_154106_11-1021.00_T3_neutral,11-1021.00,General and Operations Managers,neutral,T3,0.6646,0.3673,0.8323,0.4277,0.1677,0.0604,True,True,True,5,10,5
EXP_20260310_154106_11-3013.00_T1_male,11-3013.00,Facilities Managers,male,T1,0.6813,0.3521,0.8407,0.4498,0.1594,0.0977,True,True,True,5,10,5
EXP_20260310_154106_11-3013.00_T2_male,11-3013.00,Facilities Managers,male,T2,0.7212,0.3554,0.8606,0.4594,0.1394,0.104,True,True,True,5,10,5
EXP_20260310_154106_11-3013.00_T3_male,11-3013.00,Facilities Managers,male,T3,0.6012,0.3448,0.9206,0.4082,0.3194,0.0634,True,True,True,5,7,5
EXP_20260310_154106_11-3013.00_T1_female,11-3013.00,Facilities Managers,female,T1,0.6813,0.3521,0.8407,0.4392,0.1594,0.0871,True,True,True,5,10,5
EXP_20260310_154106_11-3013.00_T2_female,11-3013.00,Facilities Managers,female,T2,0.6452,0.3469,0.9526,0.4241,0.3074,0.0772,True,True,True,5,7,5
EXP_20260310_154106_11-3013.00_T3_female,11-3013.00,Facilities Managers,female,T3,0.6764,0.3605,0.8382,0.4494,0.1618,0.0889,True,True,True,5,10,5
EXP_20260310_154106_11-3013.00_T1_neutral,11-3013.00,Facilities Managers,neutral,T1,0.6508,0.3533,0.8254,0.4389,0.1746,0.0856,True,True,True,5,10,5
EXP_20260310_154106_11-3013.00_T2_neutral,11-3013.00,Facilities Managers,neutral,T2,0.7084,0.3703,0.8542,0.4535,0.1458,0.0832,True,True,True,5,10,5
EXP_20260310_154106_11-3013.00_T3_neutral,11-3013.00,Facilities Managers,neutral,T3,0.7034,0.3671,0.8517,0.4346,0.1483,0.0675,True,True,True,5,10,5
EXP_20260310_154106_11-3061.00_T1_male,11-3061.00,Purchasing Managers,male,T1,0.4131,0.2589,0.8486,0.3847,0.4355,0.1258,True,True,True,5,7,5
EXP_20260310_154106_11-3061.00_T2_male,11-3061.00,Purchasing Managers,male,T2,0.5436,0.3082,0.7718,0.4187,0.2282,0.1105,True,True,True,5,10,5
EXP_20260310_154106_11-3061.00_T3_male,11-3061.00,Purchasing Managers,male,T3,0.7512,0.3758,1.0,0.4271,0.2488,0.0513,True,True,True,5,7,5
EXP_20260310_154106_11-3061.00_T2_female,11-3061.00,Purchasing Managers,female,T2,0.4557,0.2675,0.8782,0.3897,0.4225,0.1222,True,True,True,5,7,5
EXP_20260310_154106_11-3061.00_T3_female,11-3061.00,Purchasing Managers,female,T3,0.6536,0.3474,0.9579,0.421,0.3043,0.0736,True,True,True,5,7,5
EXP_20260310_154106_11-3061.00_T1_neutral,11-3061.00,Purchasing Managers,neutral,T1,0.4841,0.3179,0.7421,0.4217,0.258,0.1038,True,True,True,5,10,5
EXP_20260310_154106_11-3061.00_T2_neutral,11-3061.00,Purchasing Managers,neutral,T2,0.5248,0.3298,0.7624,0.4201,0.2376,0.0903,True,True,True,5,10,5
EXP_20260310_154106_11-3061.00_T3_neutral,11-3061.00,Purchasing Managers,neutral,T3,0.4443,0.3068,0.7222,0.4126,0.2779,0.1058,True,True,True,5,10,5
EXP_20260310_154106_11-3071.04_T1_male,11-3071.04,Supply Chain Managers,male,T1,0.6204,0.3529,0.9418,0.404,0.3214,0.0511,True,True,True,5,7,5
EXP_20260310_154106_11-3071.04_T3_male,11-3071.04,Supply Chain Managers,male,T3,0.4474,0.2786,0.8745,0.3726,0.4271,0.094,True,True,True,5,7,5
EXP_20260310_154106_11-3071.04_T1_female,11-3071.04,Supply Chain Managers,female,T1,0.5964,0.3469,0.9311,0.417,0.3347,0.0701,True,True,True,5,7,5
EXP_20260310_154106_11-3071.04_T2_female,11-3071.04,Supply Chain Managers,female,T2,0.568,0.3418,0.784,0.429,0.216,0.0872,True,True,True,5,10,5
EXP_20260310_154106_11-3071.04_T3_female,11-3071.04,Supply Chain Managers,female,T3,0.7038,0.3552,0.9675,0.4009,0.2637,0.0457,True,True,True,5,7,5
EXP_20260310_154106_11-3071.04_T1_neutral,11-3071.04,Supply Chain Managers,neutral,T1,0.4846,0.2649,0.7423,0.4008,0.2577,0.1359,True,True,True,5,10,5
EXP_20260310_154106_11-3071.04_T2_neutral,11-3071.04,Supply Chain Managers,neutral,T2,0.5576,0.3149,0.7788,0.4134,0.2212,0.0985,True,True,True,5,10,5
EXP_20260310_154106_11-3071.04_T3_neutral,11-3071.04,Supply Chain Managers,neutral,T3,0.562,0.311,0.781,0.4216,0.219,0.1106,True,True,True,5,10,5
EXP_20260310_154106_11-9179.02_T1_male,11-9179.02,Spa Managers,male,T1,0.6396,0.3463,0.954,0.4049,0.3144,0.0586,True,True,True,5,7,5
EXP_20260310_154106_11-9179.02_T2_male,11-9179.02,Spa Managers,male,T2,0.5294,0.3027,0.7647,0.4069,0.2353,0.1042,True,True,True,5,10,5
