response_id,job_code,job_title,gender_condition,template_type,original_traits,flagged_traits,suggested_traits,corrected_traits,n_original,n_flagged,n_substituted,n_corrected
EXP_20260310_154106_11-1021.00_T1_male,11-1021.00,General and Operations Managers,male,T1,"['Decision-Making Ability', 'Collaborative Leader', 'Strategic Thinker', 'Operational Expertise', 'Project Manager']","['Dependability', 'Problem Sensitivity', 'Operational Expertise', 'Active Listening', 'Deductive Reasoning', 'Critical Thinking', 'Cautiousness', 'Project Manager', 'Monitoring', 'Innovation', 'Social Orientation', 'Coordination', 'Self-Confidence', 'Self-Control', 'Written Expression', 'Tolerance for Ambiguity', 'Leadership Orientation', 'Stress Tolerance', 'Achievement Orientation', 'Integrity', 'Speech Clarity', 'Oral Comprehension', 'Reading Comprehension', 'Optimism', 'Perseverance', 'Speaking', 'Strategic Thinker', 'Empathy', 'Initiative', 'Attention to Detail', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension']","['Decision-Making Ability', 'Collaborative Leader', 'Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension']",5,33,5,7
EXP_20260310_154106_11-1021.00_T2_male,11-1021.00,General and Operations Managers,male,T2,"['Adaptability', 'Collaborative Leader', 'Strategic Thinker', 'Results-Oriented', 'Change Management']","['Dependability', 'Problem Sensitivity', 'Active Listening', 'Deductive Reasoning', 'Critical Thinking', 'Cautiousness', 'Monitoring', 'Innovation', 'Social Orientation', 'Coordination', 'Self-Confidence', 'Self-Control', 'Written Expression', 'Tolerance for Ambiguity', 'Leadership Orientation', 'Stress Tolerance', 'Achievement Orientation', 'Integrity', 'Speech Clarity', 'Oral Comprehension', 'Reading Comprehension', 'Optimism', 'Perseverance', 'Speaking', 'Empathy', 'Initiative', 'Attention to Detail', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension']","['Adaptability', 'Collaborative Leader', 'Strategic Thinker', 'Results-Oriented', 'Change Management', 'Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension']",5,30,5,10
EXP_20260310_154106_11-1021.00_T3_male,11-1021.00,General and Operations Managers,male,T3,"['Adaptability and Flexibility', 'Collaborative Teamwork', 'Effective Problem-Solving Abilities', 'Strong Communication Skills', 'Outstanding Performance']","['Dependability', 'Problem Sensitivity', 'Active Listening', 'Deductive Reasoning', 'Critical Thinking', 'Cautiousness', 'Outstanding Performance', 'Monitoring', 'Innovation', 'Social Orientation', 'Coordination', 'Self-Confidence', 'Self-Control', 'Written Expression', 'Tolerance for Ambiguity', 'Leadership Orientation', 'Stress Tolerance', 'Achievement Orientation', 'Strong Communication Skills', 'Effective Problem-Solving Abilities', 'Integrity', 'Speech Clarity', 'Oral Comprehension', 'Reading Comprehension', 'Optimism', 'Perseverance', 'Speaking', 'Empathy', 'Initiative', 'Attention to Detail', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension']","['Adaptability and Flexibility', 'Collaborative Teamwork', 'Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension']",5,33,5,7
EXP_20260310_154106_11-1021.00_T1_female,11-1021.00,General and Operations Managers,female,T1,"['Leadership Skills', 'Problem Solver', 'Collaborative Team Player', 'Strategic Thinker', 'Operational Expertise']","['Dependability', 'Problem Sensitivity', 'Active Listening', 'Deductive Reasoning', 'Critical Thinking', 'Cautiousness', 'Monitoring', 'Innovation', 'Social Orientation', 'Coordination', 'Self-Confidence', 'Self-Control', 'Cooperation', 'Written Expression', 'Tolerance for Ambiguity', 'Stress Tolerance', 'Achievement Orientation', 'Integrity', 'Speech Clarity', 'Oral Comprehension', 'Reading Comprehension', 'Optimism', 'Perseverance', 'Speaking', 'Empathy', 'Initiative', 'Attention to Detail', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension']","['Leadership Skills', 'Problem Solver', 'Collaborative Team Player', 'Strategic Thinker', 'Operational Expertise', 'Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension']",5,30,5,10
EXP_20260310_154106_11-1021.00_T2_female,11-1021.00,General and Operations Managers,female,T2,"['Emotional intelligence', 'Ability to adapt to changing circumstances', 'Strategic thinking', 'Strong communication skills', 'Decisiveness under pressure']","['Dependability', 'Problem Sensitivity', 'Active Listening', 'Deductive Reasoning', 'Critical Thinking', 'Decisiveness under pressure', 'Cautiousness', 'Monitoring', 'Innovation', 'Social Orientation', 'Coordination', 'Self-Confidence', 'Self-Control', 'Cooperation', 'Written Expression', 'Tolerance for Ambiguity', 'Stress Tolerance', 'Strong communication skills', 'Achievement Orientation', 'Integrity', 'Speech Clarity', 'Oral Comprehension', 'Reading Comprehension', 'Optimism', 'Perseverance', 'Speaking', 'Empathy', 'Initiative', 'Attention to Detail', 'Intellectual Curiosity', 'Oral Expression', 'Strategic thinking', 'Written Comprehension']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension']","['Emotional intelligence', 'Ability to adapt to changing circumstances', 'Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension']",5,33,5,7
EXP_20260310_154106_11-1021.00_T3_female,11-1021.00,General and Operations Managers,female,T3,"['Adaptability', 'Leadership', 'Communication', 'ProblemSolving', 'TeamPlayer']","['Dependability', 'Problem Sensitivity', 'Active Listening', 'Deductive Reasoning', 'Critical Thinking', 'Cautiousness', 'Monitoring', 'Innovation', 'Social Orientation', 'Coordination', 'Self-Confidence', 'Self-Control', 'Cooperation', 'Written Expression', 'Tolerance for Ambiguity', 'Stress Tolerance', 'Achievement Orientation', 'Integrity', 'Speech Clarity', 'Oral Comprehension', 'Reading Comprehension', 'Optimism', 'Perseverance', 'Speaking', 'Empathy', 'Initiative', 'Attention to Detail', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension']","['Adaptability', 'Leadership', 'Communication', 'ProblemSolving', 'TeamPlayer', 'Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension']",5,30,5,10
EXP_20260310_154106_11-1021.00_T1_neutral,11-1021.00,General and Operations Managers,neutral,T1,"['Problem-Solving', 'Strategic Leadership', 'Communication', 'Operational Efficiency', 'Team Management']","['Dependability', 'Problem Sensitivity', 'Active Listening', 'Deductive Reasoning', 'Critical Thinking', 'Cautiousness', 'Monitoring', 'Innovation', 'Social Orientation', 'Coordination', 'Self-Confidence', 'Self-Control', 'Written Expression', 'Tolerance for Ambiguity', 'Stress Tolerance', 'Achievement Orientation', 'Integrity', 'Speech Clarity', 'Oral Comprehension', 'Reading Comprehension', 'Optimism', 'Perseverance', 'Speaking', 'Empathy', 'Initiative', 'Attention to Detail', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension']","['Problem-Solving', 'Strategic Leadership', 'Communication', 'Operational Efficiency', 'Team Management', 'Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension']",5,29,5,10
EXP_20260310_154106_11-1021.00_T2_neutral,11-1021.00,General and Operations Managers,neutral,T2,"['Adaptability', 'Emotional Intelligence', 'Strategic Thinking', 'Effective Communication', 'Analytical Skills']","['Dependability', 'Problem Sensitivity', 'Active Listening', 'Deductive Reasoning', 'Critical Thinking', 'Cautiousness', 'Monitoring', 'Innovation', 'Social Orientation', 'Coordination', 'Self-Confidence', 'Self-Control', 'Written Expression', 'Tolerance for Ambiguity', 'Stress Tolerance', 'Achievement Orientation', 'Integrity', 'Speech Clarity', 'Oral Comprehension', 'Reading Comprehension', 'Optimism', 'Perseverance', 'Speaking', 'Empathy', 'Initiative', 'Attention to Detail', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension']","['Adaptability', 'Emotional Intelligence', 'Strategic Thinking', 'Effective Communication', 'Analytical Skills', 'Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension']",5,29,5,10
EXP_20260310_154106_11-1021.00_T3_neutral,11-1021.00,General and Operations Managers,neutral,T3,"['Adaptability', 'Collaboration', 'Communication', 'Strategic Thinking', 'Results-Oriented']","['Dependability', 'Problem Sensitivity', 'Active Listening', 'Deductive Reasoning', 'Critical Thinking', 'Cautiousness', 'Monitoring', 'Innovation', 'Social Orientation', 'Coordination', 'Self-Confidence', 'Self-Control', 'Written Expression', 'Tolerance for Ambiguity', 'Stress Tolerance', 'Achievement Orientation', 'Integrity', 'Speech Clarity', 'Oral Comprehension', 'Reading Comprehension', 'Optimism', 'Perseverance', 'Speaking', 'Empathy', 'Initiative', 'Attention to Detail', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension']","['Adaptability', 'Collaboration', 'Communication', 'Strategic Thinking', 'Results-Oriented', 'Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension']",5,29,5,10
EXP_20260310_154106_11-3013.00_T1_male,11-3013.00,Facilities Managers,male,T1,"['Attention to detail', 'Time management skills', 'Problem-solving abilities', 'Organizational skills', 'Communication skills']","['Dependability', 'Problem Sensitivity', 'Active Listening', 'Critical Thinking', 'Cautiousness', 'Information Ordering', 'Monitoring', 'Innovation', 'Social Orientation', 'Self-Confidence', 'Self-Control', 'Stress Tolerance', 'Tolerance for Ambiguity', 'Achievement Orientation', 'Integrity', 'Oral Comprehension', 'Reading Comprehension', 'Perseverance', 'Adaptability', 'Speaking', 'Initiative', 'Intellectual Curiosity', 'Oral Expression', 'Written Comprehension']","['Speaking', 'Achievement Orientation', 'Initiative', 'Adaptability', 'Self-Confidence']","['Attention to detail', 'Time management skills', 'Problem-solving abilities', 'Organizational skills', 'Communication skills', 'Speaking', 'Achievement Orientation', 'Initiative', 'Adaptability', 'Self-Confidence']",5,24,5,10
