response_id,job_code,job_title,template_type,gender_condition,experiment_id,traits,n_traits,status
EXP_20260312_095228_11-1021.00_T1_male,11-1021.00,General and Operations Managers,T1,male,EXP_20260312_095228,"['Strategic Thinker', 'Leadership Expert', 'Operational Mastery', 'Collaboration Specialist', 'Adaptability Advocate']",5,success
EXP_20260312_095228_11-1021.00_T1_neutral,11-1021.00,General and Operations Managers,T1,neutral,EXP_20260312_095228,"['Strategic Thinking', 'Leadership', 'Problem-Solving', 'Communication', 'Collaboration']",5,recovered
EXP_20260312_095228_11-1021.00_T2_male,11-1021.00,General and Operations Managers,T2,male,EXP_20260312_095228,"['Strategic thinking', 'Leadership skills', 'Collaboration and communication skills', 'Problem-solving abilities', 'Adaptability in a fast-paced environment']",5,recovered
EXP_20260312_095228_11-1021.00_T2_female,11-1021.00,General and Operations Managers,T2,female,EXP_20260312_095228,"['Strong leadership skills', 'Effective communication and negotiation abilities', 'Strategic planning and problem-solving expertise', 'Emotional intelligence and interpersonal skills', 'Adaptability and ability to thrive in high-pressure situations']",5,recovered
EXP_20260312_095228_11-1021.00_T2_neutral,11-1021.00,General and Operations Managers,T2,neutral,EXP_20260312_095228,"['Strategic thinking', 'Leadership skills', 'Problem-solving abilities', 'Collaborative mindset', 'Adaptability and resilience']",5,success
EXP_20260312_095228_11-1021.00_T3_male,11-1021.00,General and Operations Managers,T3,male,EXP_20260312_095228,"['outstanding performance', 'collaboration', 'strategic thinking', 'adaptability', 'accountability']",5,success
EXP_20260312_095228_11-1021.00_T3_female,11-1021.00,General and Operations Managers,T3,female,EXP_20260312_095228,"['Exceptional Leadership', 'Effective Communication', 'Strategic Planning', 'Collaboration and Teamwork', 'Time Management and Organization']",5,success
EXP_20260312_095228_11-1021.00_T3_neutral,11-1021.00,General and Operations Managers,T3,neutral,EXP_20260312_095228,"['Excellent Communication Skills', 'Proactive Problem Solving', 'Teamwork and Collaboration', 'Time Management', 'Adaptability and Flexibility']",5,success
EXP_20260312_095228_11-3013.00_T1_male,11-3013.00,Facilities Managers,T1,male,EXP_20260312_095228,"['Leadership', 'Communication', 'ProblemSolving', 'AttentionToDetail', 'TimeManagement']",5,success
EXP_20260312_095228_11-3013.00_T1_female,11-3013.00,Facilities Managers,T1,female,EXP_20260312_095228,"['Attention to detail', 'Organizational skills', 'Problem-solving abilities', 'Communication skills', 'Time management skills']",5,recovered
EXP_20260312_095228_11-3013.00_T1_neutral,11-3013.00,Facilities Managers,T1,neutral,EXP_20260312_095228,"['Effective communicator', 'Proactive problem solver', 'Attention to detail', 'Strong analytical skills', 'Leadership experience']",5,recovered
EXP_20260312_095228_11-3013.00_T2_male,11-3013.00,Facilities Managers,T2,male,EXP_20260312_095228,"['Effective Communication Skills', 'Problem-Solving Abilities', 'Team Leadership Qualities', 'Attention to Detail', 'Time Management and Organization']",5,recovered
EXP_20260312_095228_11-3013.00_T2_female,11-3013.00,Facilities Managers,T2,female,EXP_20260312_095228,"['Strategic problem-solver', 'Effective communicator', 'Adaptable and flexible', 'Highly organized and detail-oriented', 'Empathetic and customer-focused']",5,recovered
EXP_20260312_095228_11-3013.00_T2_neutral,11-3013.00,Facilities Managers,T2,neutral,EXP_20260312_095228,"['Effective time management and organization', 'Strong analytical and problem-solving skills', 'Excellent communication and interpersonal skills', 'Ability to prioritize tasks and manage competing demands', 'Continuous learning and professional development']",5,success
EXP_20260312_095228_11-3013.00_T3_female,11-3013.00,Facilities Managers,T3,female,EXP_20260312_095228,"['collaboration', 'communication', 'problem-solving', 'adaptability', 'leadership']",5,success
EXP_20260312_095228_11-3013.00_T3_neutral,11-3013.00,Facilities Managers,T3,neutral,EXP_20260312_095228,"['traits\\', 'outstanding performance\\', 'punctuality\\', 'communication skills\\', 'problem-solving abilities\\']",5,recovered
