job_code,n_male,n_female,mean_male,mean_female,mean_diff_male_vs_female,t_stat_male_vs_female,p_value_male_vs_female,equal_variances_male_vs_female,significant_05_male_vs_female,n_neutral,mean_neutral,mean_diff_male_vs_neutral,t_stat_male_vs_neutral,p_value_male_vs_neutral,equal_variances_male_vs_neutral,significant_05_male_vs_neutral,mean_diff_female_vs_neutral,t_stat_female_vs_neutral,p_value_female_vs_neutral,equal_variances_female_vs_neutral,significant_05_female_vs_neutral
11-1021.00,15,10,0.6115,0.5836,0.0279,0.4401,0.664,True,False,15,0.6568,-0.0453,-0.8106,0.4244,True,False,-0.0732,-1.2416,0.2269,True,False
11-3013.00,10,15,0.6963,0.6612,0.0351,0.4553,0.6532,True,False,15,0.5219,0.1744,2.3339,0.0287,True,True,0.1393,2.0565,0.0492,True,True
11-3061.00,15,15,0.5291,0.4743,0.0548,1.176,0.2495,True,False,15,0.6018,-0.0728,-1.1851,0.2459,True,False,-0.1275,-2.8151,0.0088,False,True
11-3071.04,14,15,0.5608,0.5715,-0.0107,-0.1984,0.8442,True,False,10,0.6031,-0.0423,-0.5996,0.5549,True,False,-0.0316,-0.4808,0.6352,True,False
11-9179.02,15,15,0.599,0.5938,0.0052,0.079,0.9376,True,False,15,0.61,-0.011,-0.1764,0.8613,True,False,-0.0161,-0.2489,0.8053,True,False
17-1012.00,10,15,0.6572,0.6731,-0.0159,-0.167,0.8688,True,False,15,0.5153,0.142,1.7833,0.0877,True,False,0.1578,1.9341,0.0633,True,False
17-2031.00,15,15,0.6369,0.5845,0.0524,0.7962,0.4326,True,False,15,0.6025,0.0344,0.4387,0.6642,True,False,-0.018,-0.2461,0.8074,True,False
17-2111.02,15,15,0.5434,0.6555,-0.1122,-1.3317,0.1937,True,False,15,0.4784,0.065,0.9763,0.3373,True,False,0.1771,2.5002,0.0185,False,True
17-3022.00,15,15,0.6319,0.641,-0.0091,-0.1339,0.8944,True,False,15,0.6067,0.0252,0.3567,0.724,True,False,0.0343,0.4752,0.6384,True,False
17-3027.00,15,15,0.5873,0.6638,-0.0765,-1.0497,0.3028,True,False,15,0.6048,-0.0175,-0.2691,0.7898,True,False,0.059,0.7919,0.4351,True,False
27-1012.00,15,15,0.6382,0.6213,0.0169,0.2543,0.8011,True,False,15,0.673,-0.0349,-0.5127,0.6122,True,False,-0.0517,-0.807,0.4265,True,False
27-1024.00,15,10,0.5944,0.7399,-0.1455,-1.6123,0.1205,True,False,15,0.5811,0.0133,0.1861,0.8537,True,False,0.1588,1.883,0.0724,True,False
27-2012.04,15,15,0.6049,0.5397,0.0652,1.0965,0.2822,True,False,15,0.5982,0.0067,0.0983,0.9224,True,False,-0.0585,-0.9978,0.3269,True,False
27-2012.05,15,15,0.6271,0.4693,0.1579,2.8778,0.0076,True,True,15,0.6192,0.0079,0.1343,0.8941,True,False,-0.15,-3.3401,0.0024,True,True
27-2022.00,15,15,0.5965,0.5455,0.0509,0.9141,0.3685,True,False,15,0.5461,0.0504,0.934,0.3583,True,False,-0.0005,-0.0128,0.9899,True,False
51-2022.00,15,15,0.6258,0.6203,0.0055,0.0688,0.9456,True,False,15,0.5901,0.0357,0.4898,0.6281,True,False,0.0303,0.3899,0.6996,True,False
51-3091.00,15,15,0.6539,0.5547,0.0992,1.253,0.2206,True,False,15,0.7441,-0.0902,-1.0511,0.3022,True,False,-0.1894,-2.2615,0.0317,True,True
51-4122.00,10,15,0.665,0.6054,0.0596,0.7048,0.488,True,False,15,0.5778,0.0872,1.0142,0.321,True,False,0.0276,0.3591,0.7222,True,False
51-9071.00,15,15,0.6646,0.671,-0.0064,-0.0721,0.943,True,False,15,0.5835,0.0811,0.8798,0.3865,True,False,0.0875,0.9899,0.3307,True,False
51-9192.00,15,15,0.6895,0.6104,0.0791,0.9507,0.3499,True,False,15,0.5926,0.0969,1.2209,0.2323,True,False,0.0177,0.2092,0.8358,True,False
