job_code,male_weighted_mean,male_std,male_total_weight,female_weighted_mean,female_std,female_total_weight,neutral_weighted_mean,neutral_std,neutral_total_weight,male_delta_from_neutral,female_delta_from_neutral,male_female_difference
13-1022.00,0.5809,0.1864,20.5663,0.6052,0.2345,22.1998,0.5899,0.1936,22.1051,-0.009,0.0153,-0.0243
13-1023.00,0.5629,0.1782,21.6431,0.6714,0.2083,21.1306,0.656,0.2094,20.1073,-0.0931,0.0154,-0.1085
13-1032.00,0.6639,0.2218,15.9087,0.641,0.2148,13.5479,0.6367,0.1998,15.0081,0.0272,0.0043,0.0229
13-1041.00,0.6398,0.2333,20.5818,0.5129,0.1581,20.0843,0.5582,0.1639,18.4275,0.0816,-0.0453,0.1269
13-1081.02,0.6759,0.203,20.4327,0.6887,0.2005,20.667,0.6624,0.1975,18.4803,0.0135,0.0263,-0.0128
13-1161.01,0.5551,0.1444,22.8045,0.4648,0.1284,21.8575,0.4835,0.1514,20.7626,0.0716,-0.0187,0.0903
13-1199.06,0.5904,0.1994,17.927,0.6445,0.2459,18.2209,0.6554,0.2304,17.3567,-0.065,-0.0109,-0.0541
13-2099.01,0.5844,0.1424,18.2683,0.5324,0.1371,19.9775,0.5538,0.1805,18.2475,0.0306,-0.0214,0.052
15-1211.01,0.5099,0.1324,22.169,0.5484,0.1865,21.6932,0.4539,0.1524,21.779,0.056,0.0945,-0.0385
15-1212.00,0.5148,0.1622,19.5908,0.5838,0.21,18.7567,0.4951,0.1693,20.4267,0.0197,0.0887,-0.069
15-1221.00,0.4837,0.1193,20.5675,0.6172,0.1947,21.7233,0.6303,0.1889,21.3383,-0.1466,-0.0131,-0.1335
15-1242.00,0.5864,0.1919,16.4875,0.5509,0.1709,18.095,0.5399,0.1941,18.3442,0.0465,0.011,0.0355
15-1252.00,0.6736,0.1851,19.3104,0.6008,0.1818,21.2734,0.4927,0.1173,20.4515,0.1809,0.1081,0.0728
15-2021.00,0.6493,0.1826,23.9208,0.6489,0.1706,21.9192,0.6424,0.1714,22.9517,0.0069,0.0065,0.0004
15-2051.02,0.5369,0.1942,19.6092,0.6205,0.2025,19.5892,0.5763,0.2072,19.1567,-0.0394,0.0442,-0.0836
15-2099.01,0.5291,0.1818,18.1276,0.5089,0.1663,17.2602,0.4857,0.1884,17.5536,0.0434,0.0232,0.0202
17-1021.00,0.5615,0.1584,14.8342,0.6993,0.2249,15.1875,0.6709,0.2064,15.5417,-0.1094,0.0284,-0.1378
17-1022.00,0.6434,0.2427,17.9942,0.6649,0.2137,17.895,0.6285,0.218,18.4425,0.0149,0.0364,-0.0215
17-2011.00,0.6678,0.1848,20.318,0.6168,0.1854,21.3138,0.5412,0.1474,17.9881,0.1266,0.0756,0.051
17-2021.00,0.5424,0.19,21.4364,0.5748,0.1838,20.9291,0.5377,0.1777,20.5973,0.0047,0.0371,-0.0324
17-2111.02,0.5963,0.1806,19.6724,0.4884,0.1677,19.318,0.5084,0.1827,20.6352,0.0879,-0.02,0.1079
17-2141.00,0.6079,0.187,20.9443,0.6599,0.204,20.5296,0.6604,0.2034,20.9756,-0.0525,-0.0005,-0.052
17-2141.02,0.6548,0.1955,23.3988,0.5867,0.1817,21.6288,0.6514,0.1976,21.9352,0.0034,-0.0647,0.0681
17-3029.08,0.5745,0.2012,17.7187,0.587,0.1519,16.5106,0.592,0.2078,17.7601,-0.0175,-0.005,-0.0125
27-1013.00,0.6985,0.2347,18.0867,0.619,0.218,17.9175,0.675,0.2428,17.71,0.0235,-0.056,0.0795
27-1014.00,0.6668,0.2134,18.5563,0.6305,0.1816,19.0367,0.5877,0.1998,16.0683,0.0791,0.0428,0.0363
27-1022.00,0.5983,0.2069,23.9539,0.6988,0.2243,21.6711,0.6129,0.1946,23.0443,-0.0146,0.0859,-0.1005
27-1023.00,0.6873,0.2342,19.1518,0.6726,0.2269,20.5165,0.6805,0.236,19.0944,0.0068,-0.0079,0.0147
27-2012.00,0.6304,0.1528,23.8158,0.6266,0.1561,24.8535,0.6921,0.1804,24.4044,-0.0617,-0.0655,0.0038
27-2022.00,0.6054,0.1771,24.7644,0.5262,0.1248,22.6497,0.5829,0.1918,24.4194,0.0225,-0.0567,0.0792
27-3041.00,0.6766,0.1849,21.6033,0.6169,0.1879,20.7058,0.6544,0.2096,19.2108,0.0222,-0.0375,0.0597
27-4031.00,0.5528,0.1878,16.1211,0.6538,0.2157,18.3415,0.6667,0.2093,19.1388,-0.1139,-0.0129,-0.101
37-1011.00,0.6528,0.2118,20.2518,0.7141,0.2157,20.8532,0.6436,0.1954,19.2046,0.0092,0.0705,-0.0613
37-1012.00,0.7093,0.2143,20.3611,0.6436,0.2058,18.5959,0.6224,0.1701,19.0558,0.0869,0.0212,0.0657
37-2011.00,0.6457,0.2149,16.9572,0.6299,0.2196,17.1498,0.6953,0.2134,17.1235,-0.0496,-0.0654,0.0158
37-2012.00,0.6368,0.2186,16.3366,0.6699,0.2212,19.1926,0.7043,0.2311,16.749,-0.0675,-0.0344,-0.0331
37-2021.00,0.5609,0.1984,19.3453,0.5281,0.1979,19.3745,0.5907,0.2166,20.3969,-0.0298,-0.0626,0.0328
37-3011.00,0.6344,0.197,15.8804,0.5826,0.1932,15.746,0.6041,0.2216,16.1097,0.0303,-0.0215,0.0518
37-3012.00,0.6067,0.2323,17.8674,0.6379,0.2355,14.6461,0.6329,0.2614,16.5609,-0.0262,0.005,-0.0312
37-3013.00,0.5357,0.2166,19.1,0.5292,0.1772,20.1755,0.5745,0.23,18.2464,-0.0388,-0.0453,0.0065
