response_id,job_code,job_title,gender_condition,template_type,response_alignment,neutral_alignment,representation_gap,alignment_gap,overall_gap,n_critical_traits,n_missing_traits
EXP_20260416_175956_13-1023.00_T1_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T1,0.6604,0.6629,0.8667,0.0025,0.4346,15,13
EXP_20260416_175956_13-1023.00_T1_female,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",female,T1,0.6562,0.6629,0.8667,0.0068,0.4368,15,13
EXP_20260416_175956_13-1023.00_T2_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T2,0.572,0.5766,0.8,0.0047,0.4024,15,12
EXP_20260416_175956_13-1023.00_T2_female,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",female,T2,0.5378,0.5766,0.8667,0.0389,0.4528,15,13
EXP_20260416_175956_13-1023.00_T3_male,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",male,T3,0.6948,0.7191,0.8667,0.0243,0.4455,15,13
EXP_20260416_175956_13-1023.00_T3_female,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",female,T3,0.7065,0.7191,0.7333,0.0125,0.3729,15,11
EXP_20260416_175956_13-1031.00_T1_male,13-1031.00,"Claims Adjusters, Examiners, and Investigators",male,T1,0.6995,0.7548,0.9333,0.0553,0.4943,15,14
EXP_20260416_175956_13-1031.00_T1_female,13-1031.00,"Claims Adjusters, Examiners, and Investigators",female,T1,0.5488,0.7548,0.9333,0.206,0.5696,15,14
EXP_20260416_175956_13-1031.00_T2_male,13-1031.00,"Claims Adjusters, Examiners, and Investigators",male,T2,0.6488,0.5453,0.8667,0.1035,0.4851,15,13
EXP_20260416_175956_13-1031.00_T2_female,13-1031.00,"Claims Adjusters, Examiners, and Investigators",female,T2,0.6163,0.5453,0.8667,0.071,0.4688,15,13
EXP_20260416_175956_13-1031.00_T3_male,13-1031.00,"Claims Adjusters, Examiners, and Investigators",male,T3,0.8158,0.769,0.8667,0.0467,0.4567,15,13
EXP_20260416_175956_13-1031.00_T3_female,13-1031.00,"Claims Adjusters, Examiners, and Investigators",female,T3,0.6337,0.769,0.9333,0.1354,0.5343,15,14
EXP_20260416_175956_13-1041.00_T1_male,13-1041.00,Compliance Officers,male,T1,0.6304,0.479,0.9333,0.1514,0.5423,15,14
EXP_20260416_175956_13-1041.00_T1_female,13-1041.00,Compliance Officers,female,T1,0.4172,0.479,0.9333,0.0618,0.4975,15,14
EXP_20260416_175956_13-1041.00_T2_male,13-1041.00,Compliance Officers,male,T2,0.6297,0.4498,0.8667,0.1799,0.5233,15,13
EXP_20260416_175956_13-1041.00_T2_female,13-1041.00,Compliance Officers,female,T2,0.4951,0.4498,0.9333,0.0453,0.4893,15,14
EXP_20260416_175956_13-1041.00_T3_male,13-1041.00,Compliance Officers,male,T3,0.631,0.7116,0.8667,0.0806,0.4737,15,13
