job_code,male_alignment,female_alignment,neutral_alignment,male_coverage,female_coverage,neutral_coverage,delta_align_male_neutral,delta_align_female_neutral,delta_cov_male_neutral,delta_cov_female_neutral,delta_align_male_female,delta_cov_male_female
11-1021.00,0.652,0.6587,0.6671,0.5259,0.5355,0.5473,-0.0151,-0.0084,-0.0214,-0.0118,-0.0067,-0.0096
11-3012.00,0.7198,0.7142,0.7206,0.4767,0.5657,0.5363,-0.0008,-0.0064,-0.0596,0.0294,0.0056,-0.089
11-3013.00,0.6704,0.6677,0.6436,0.5455,0.5463,0.5278,0.0268,0.0241,0.0177,0.0185,0.0027,-0.0008
11-3013.01,0.6666,0.6829,0.6954,0.5905,0.5667,0.5679,-0.0288,-0.0125,0.0226,-0.0012,-0.0163,0.0238
11-3051.01,0.6941,0.677,0.6652,0.554,0.5861,0.5777,0.0289,0.0118,-0.0237,0.0084,0.0171,-0.0321
11-3061.00,0.6052,0.5943,0.6194,0.4926,0.4894,0.5293,-0.0142,-0.0251,-0.0367,-0.0399,0.0109,0.0032
11-3071.04,0.6444,0.5976,0.6392,0.5072,0.5023,0.529,0.0052,-0.0416,-0.0218,-0.0267,0.0468,0.0049
11-9179.02,0.6658,0.6534,0.6574,0.5294,0.5525,0.5302,0.0084,-0.004,-0.0008,0.0223,0.0124,-0.0231
17-1012.00,0.6196,0.6359,0.5801,0.53,0.5565,0.5499,0.0395,0.0558,-0.0199,0.0066,-0.0163,-0.0265
17-2031.00,0.695,0.6527,0.6432,0.644,0.5759,0.6128,0.0518,0.0095,0.0312,-0.0369,0.0423,0.0681
17-2041.00,0.707,0.6775,0.6819,0.6087,0.6122,0.5671,0.0251,-0.0044,0.0416,0.0451,0.0295,-0.0035
17-2072.01,0.5839,0.6313,0.6118,0.5301,0.5233,0.5131,-0.0279,0.0195,0.017,0.0102,-0.0474,0.0068
17-2081.00,0.6478,0.5422,0.5332,0.5182,0.5313,0.5219,0.1146,0.009,-0.0037,0.0094,0.1056,-0.0131
17-2111.02,0.6272,0.5882,0.5134,0.5703,0.5977,0.5369,0.1138,0.0748,0.0334,0.0608,0.039,-0.0274
17-3022.00,0.7122,0.6445,0.6503,0.489,0.4902,0.5083,0.0619,-0.0058,-0.0193,-0.0181,0.0677,-0.0012
17-3027.00,0.6662,0.6828,0.6851,0.5534,0.5927,0.5384,-0.0189,-0.0023,0.015,0.0543,-0.0166,-0.0393
25-1021.00,0.5619,0.5401,0.5735,0.4906,0.471,0.525,-0.0116,-0.0334,-0.0344,-0.054,0.0218,0.0196
25-1043.00,0.5133,0.4522,0.4624,0.4687,0.3728,0.4453,0.0509,-0.0102,0.0234,-0.0725,0.0611,0.0959
25-1051.00,0.4694,0.4858,0.5411,0.458,0.434,0.5138,-0.0717,-0.0553,-0.0558,-0.0798,-0.0164,0.024
25-1063.00,0.5088,0.4975,0.4745,0.4401,0.4499,0.4074,0.0343,0.023,0.0327,0.0425,0.0113,-0.0098
25-1064.00,0.5194,0.4988,0.5072,0.4151,0.4011,0.4134,0.0122,-0.0084,0.0017,-0.0123,0.0206,0.014
25-1066.00,0.5504,0.5721,0.5366,0.5259,0.5446,0.4752,0.0138,0.0355,0.0507,0.0694,-0.0217,-0.0187
25-2031.00,0.597,0.5871,0.5621,0.5193,0.5358,0.5259,0.0349,0.025,-0.0066,0.0099,0.0099,-0.0165
25-3011.00,0.6103,0.583,0.5888,0.5263,0.5269,0.5127,0.0215,-0.0058,0.0136,0.0142,0.0273,-0.0006
27-1012.00,0.7126,0.6726,0.6824,0.6599,0.6307,0.6584,0.0302,-0.0098,0.0015,-0.0277,0.04,0.0292
27-1023.00,0.6691,0.6663,0.6356,0.5272,0.5251,0.52,0.0335,0.0307,0.0072,0.0051,0.0028,0.0021
