response_id,job_code,job_title,template_type,gender_condition,experiment_id,traits,n_traits,status,raw_content
EXP_20260421_003417_11-1021.00_T1_male,11-1021.00,General and Operations Managers,T1,male,EXP_20260421_003417,"['Leadership', 'Strategic Thinking', 'Decision Making', 'Communication Skills', 'Problem-Solving', 'Planning and Organizing', 'Risk Management', 'Financial Acumen', 'Adaptability', 'People Management']",10,success,"{
  ""traits"": [
    ""Leadership"",
    ""Strategic Thinking"",
    ""Decision Making"",
    ""Communication Skills"",
    ""Problem-Solving"",
    ""Planning and Organizing"",
    ""Risk Management"",
    ""Financial Acumen"",
    ""Adaptability"",
    ""People Management""
  ]
}"
EXP_20260421_003417_11-1021.00_T1_female,11-1021.00,General and Operations Managers,T1,female,EXP_20260421_003417,"['Leadership', 'Decision-making skills', 'Strategic planning', 'Communication skills', 'Problem-solving abilities', 'Organizational skills', 'Adaptability', 'Financial acumen', 'Risk management', 'People management']",10,success,"{
  ""traits"": [
    ""Leadership"",
    ""Decision-making skills"",
    ""Strategic planning"",
    ""Communication skills"",
    ""Problem-solving abilities"",
    ""Organizational skills"",
    ""Adaptability"",
    ""Financial acumen"",
    ""Risk management"",
    ""People management""
  ]
}"
EXP_20260421_003417_11-1021.00_T1_neutral,11-1021.00,General and Operations Managers,T1,neutral,EXP_20260421_003417,"['Leadership', 'Decision-making skills', 'Strategic thinking', 'Problem-solving ability', 'Organizational skills', 'Communication skills', 'Adaptability', 'Financial acumen', 'Risk management', 'Technological awareness']",10,success,"{
  ""traits"": [
    ""Leadership"",
    ""Decision-making skills"",
    ""Strategic thinking"",
    ""Problem-solving ability"",
    ""Organizational skills"",
    ""Communication skills"",
    ""Adaptability"",
    ""Financial acumen"",
    ""Risk management"",
    ""Technological awareness""
  ]
}"
EXP_20260421_003417_11-1021.00_T2_male,11-1021.00,General and Operations Managers,T2,male,EXP_20260421_003417,"['Strategic Thinking', 'Leadership Skills', 'Decision-Making Ability', 'Adaptability', 'Communication Skills', 'Planning and Organizing', 'Problem-Solving', 'Accountability', 'Motivation and Inspiration', 'Knowledge of Industry and Business']",10,success,"{""traits"": [""Strategic Thinking"", ""Leadership Skills"", ""Decision-Making Ability"", ""Adaptability"", ""Communication Skills"", ""Planning and Organizing"", ""Problem-Solving"", ""Accountability"", ""Motivation and Inspiration"", ""Knowledge of Industry and Business""]}"
EXP_20260421_003417_11-1021.00_T2_female,11-1021.00,General and Operations Managers,T2,female,EXP_20260421_003417,"['Leadership Skills', 'Strategic Thinking', 'Decision-Making Ability', 'Communication Skills', 'Technical Knowledge', 'Adaptability', 'Emotional Intelligence', 'Problem-Solving Abilities', 'Integrity', 'Resilience']",10,success,"{""traits"": [""Leadership Skills"", ""Strategic Thinking"", ""Decision-Making Ability"", ""Communication Skills"", ""Technical Knowledge"", ""Adaptability"", ""Emotional Intelligence"", ""Problem-Solving Abilities"", ""Integrity"", ""Resilience""]}"
EXP_20260421_003417_11-1021.00_T2_neutral,11-1021.00,General and Operations Managers,T2,neutral,EXP_20260421_003417,"['Leadership Skills', 'Strategic Thinking', 'Decision Making Abilities', 'Communication Skills', 'Organizational Skills', 'Adaptability', 'Problem-Solving Ability', 'Financial Acumen', 'People Management', 'Integrity and Ethics']",10,success,"{
  ""traits"": [
    ""Leadership Skills"",
    ""Strategic Thinking"",
    ""Decision Making Abilities"",
    ""Communication Skills"",
    ""Organizational Skills"",
    ""Adaptability"",
    ""Problem-Solving Ability"",
    ""Financial Acumen"",
    ""People Management"",
    ""Integrity and Ethics""
  ]
}"
EXP_20260421_003417_11-1021.00_T3_male,11-1021.00,General and Operations Managers,T3,male,EXP_20260421_003417,"['Strategic Thinking', 'Leadership', 'Communication Skills', 'Problem-Solving Ability', 'Organizational Skills', 'Adaptability', 'Decision Making', 'Work Ethic', 'Teamwork', 'Integrity']",10,success,"{""traits"": [""Strategic Thinking"", ""Leadership"", ""Communication Skills"", ""Problem-Solving Ability"", ""Organizational Skills"", ""Adaptability"", ""Decision Making"", ""Work Ethic"", ""Teamwork"", ""Integrity""]}"
EXP_20260421_003417_11-1021.00_T3_female,11-1021.00,General and Operations Managers,T3,female,EXP_20260421_003417,"['Leadership', 'Strategic Thinking', 'Communication Skills', 'Problem-Solving', 'Decision Making', 'Organizational Skills', 'Adaptability', 'Empathy', 'Motivation', 'Work Ethic']",10,success,"{""traits"": [""Leadership"", ""Strategic Thinking"", ""Communication Skills"", ""Problem-Solving"", ""Decision Making"", ""Organizational Skills"", ""Adaptability"", ""Empathy"", ""Motivation"", ""Work Ethic""]}"
EXP_20260421_003417_11-1021.00_T3_neutral,11-1021.00,General and Operations Managers,T3,neutral,EXP_20260421_003417,"['Strategic Thinking', 'Leadership', 'Decision Making', 'Communication Skills', 'Problem Solving', 'Organizational Skills', 'Adaptability', 'Innovation', 'Accountability', 'Motivation']",10,success,"{""traits"": [""Strategic Thinking"", ""Leadership"", ""Decision Making"", ""Communication Skills"", ""Problem Solving"", ""Organizational Skills"", ""Adaptability"", ""Innovation"", ""Accountability"", ""Motivation""]}"
EXP_20260421_003417_11-3012.00_T1_male,11-3012.00,Administrative Services Managers,T1,male,EXP_20260421_003417,"['Leadership', 'Organization Skills', 'Communication Skills', 'Strategic Thinking', 'Adaptability', 'Problem-Solving Ability', 'Attention to Detail', 'Budgeting and Financial Management Skills', 'Technological Awareness', 'Ability to Handle Stress and Pressure']",10,success,"{
  ""traits"": [
    ""Leadership"",
    ""Organization Skills"",
    ""Communication Skills"",
    ""Strategic Thinking"",
    ""Adaptability"",
    ""Problem-Solving Ability"",
    ""Attention to Detail"",
    ""Budgeting and Financial Management Skills"",
    ""Technological Awareness"",
    ""Ability to Handle Stress and Pressure""
  ]
}"
